MARKET,TF,MEAN,BREAKOUT,RTM,RTM_PERCENT,BO_PERCENT,EXIT_PERCENT,STOP_PERC,sharpe_ratio
BTC-ETH,5,20,True,True,3.0,1.0,5.0,10.0,0.15882134004
BTC-NEO,5,20,True,True,5.0,1.0,10.0,5.0,0.235052968747
BTC-APX,5,8,True,True,2.0,1.0,5.0,10.0,0.434415290069
BTC-ETC,5,20,True,True,5.0,1.0,1.0,5.0,0.0791107730765
BTC-BCC,5,20,True,True,2.0,1.0,10.0,15.0,0.39299746188
BTC-STRAT,5,8,True,True,2.0,1.0,1.0,15.0,0.000327049481482
BTC-XRP,5,20,True,True,3.0,1.0,1.0,5.0,0.307028854877
BTC-BAT,5,20,True,True,3.0,1.0,1.0,10.0,0.253648280858
BTC-MTL,5,20,True,True,3.0,1.0,5.0,5.0,0.573050901624
BTC-RISE,5,8,True,True,3.0,1.0,5.0,10.0,0.663591293986
BTC-APX,5,8,True,True,2.0,1.0,10.0,15.0,0.261250302674
BTC-NAV,5,8,True,True,2.0,1.0,5.0,10.0,0.625918758585
BTC-TRIG,5,8,True,True,5.0,1.0,10.0,15.0,0.476416129869
BTC-ETH,5,8,True,True,5.0,1.0,10.0,10.0,0.0699404700942
BTC-APX,5,20,True,True,5.0,1.0,10.0,15.0,0.447755958766
BTC-MTL,5,8,True,True,5.0,1.0,1.0,15.0,-0.0595923527108
BTC-RISE,5,20,True,True,5.0,1.0,1.0,5.0,0.198025494159
BTC-STRAT,5,8,True,True,2.0,1.0,10.0,5.0,0.157227738329
BTC-XMR,5,8,True,True,3.0,1.0,5.0,10.0,0.282183676189
BTC-LTC,5,20,True,True,2.0,1.0,5.0,15.0,0.353626420539
BTC-MTL,5,8,True,True,3.0,1.0,1.0,10.0,-0.0686887834114
BTC-RISE,5,20,True,True,2.0,1.0,5.0,10.0,1.09169461955
BTC-XRP,5,8,True,True,5.0,1.0,1.0,10.0,-0.208645348888
BTC-XRP,5,8,True,True,2.0,1.0,5.0,5.0,0.309040976845
BTC-ETH,5,20,True,True,2.0,1.0,10.0,10.0,0.0763318701825
BTC-NEO,5,20,True,True,3.0,1.0,10.0,15.0,0.149789002862
BTC-LTC,5,20,True,True,2.0,1.0,10.0,5.0,0.271176526334
BTC-NEO,5,8,True,True,3.0,1.0,5.0,5.0,0.257699952092
BTC-RISE,5,8,True,True,3.0,1.0,10.0,15.0,0.519221533032
BTC-ETH,5,8,True,True,2.0,1.0,1.0,10.0,-0.0830914062863
BTC-OMG,5,8,True,True,5.0,1.0,5.0,15.0,0.0765435351271
